Mes;Vazao
jul/1966;587
ago/1966;2690
set/1966;4461
out/1966;4392
nov/1966;2353
dez/1966;843
jan/1967;375
fev/1967;179
mar/1967;108
abr/1967;52
mai/1967;102
jun/1967;137
jul/1967;895
ago/1967;3218
set/1967;5664
out/1967;7894
nov/1967;2923
dez/1967;1029
jan/1968;515
fev/1968;275
mar/1968;162
abr/1968;99
mai/1968;114
jun/1968;702
jul/1968;1095
ago/1968;3020
set/1968;4328
out/1968;3780
nov/1968;1737
dez/1968;867
jan/1969;402
fev/1969;190
mar/1969;112
abr/1969;80
mai/1969;56
jun/1969;284
jul/1969;1770
ago/1969;3610
set/1969;6690
out/1969;5640
nov/1969;4250
dez/1969;1190
jan/1970;576
fev/1970;265
mar/1970;138
abr/1970;90
mai/1970;75
jun/1970;176
jul/1970;500
ago/1970;2391
set/1970;5108
out/1970;2821
nov/1970;1131
dez/1970;594
jan/1971;233
fev/1971;106
mar/1971;52
abr/1971;28
mai/1971;46
jun/1971;99
jul/1971;692
ago/1971;3273
set/1971;5358
out/1971;3486
nov/1971;1087
dez/1971;631
jan/1972;250
fev/1972;108
mar/1972;47
abr/1972;39
mai/1972;160
jun/1972;642
jul/1972;1241
ago/1972;2329
set/1972;3570
out/1972;2644
nov/1972;1313
dez/1972;621
jan/1973;263
fev/1973;112
mar/1973;43,5
abr/1973;19,5
mai/1973;19,5
jun/1973;142
jul/1973;357
ago/1973;2730
set/1973;3640
out/1973;2200
nov/1973;1210
dez/1973;412
jan/1974;176
fev/1974;68,5
mar/1974;32,5
abr/1974;26,5
mai/1974;26
jun/1974;69
jul/1974;999
ago/1974;3320
set/1974;5570
out/1974;4590
nov/1974;1520
dez/1974;538
jan/1975;217
fev/1975;96,3
mar/1975;39,5
abr/1975;33,5
mai/1975;90,5
jun/1975;225
jul/1975;1160
ago/1975;3180
set/1975;5550
out/1975;5190
nov/1975;1760
dez/1975;714
jan/1976;328
fev/1976;135
mar/1976;51,5
abr/1976;29,5
mai/1976;63,5
jun/1976;264
jul/1976;788
ago/1976;2510
set/1976;3460
out/1976;4650
nov/1976;3930
dez/1976;1280
jan/1977;585
fev/1977;265
mar/1977;106
abr/1977;41,5
mai/1977;37
jun/1977;165
jul/1977;592
ago/1977;1540
set/1977;3280
out/1977;2610
nov/1977;1020
dez/1977;380
jan/1978;156
fev/1978;76
mar/1978;39
abr/1978;44,5
mai/1978;110
jun/1978;433
jul/1978;1120
ago/1978;2490
set/1978;4220
out/1978;4220
nov/1978;1870
dez/1978;705
jan/1979;328
fev/1979;148
mar/1979;51,5
abr/1979;36,5
mai/1979;51,5
jun/1979;340
jul/1979;1447
ago/1979;4121
set/1979;5071
out/1979;3319
nov/1979;1602
dez/1979;664
jan/1980;310
fev/1980;150
mar/1980;58,9
abr/1980;23,5
mai/1980;26
jun/1980;115
jul/1980;341
ago/1980;1767
set/1980;3841
out/1980;2021
nov/1980;1230
dez/1980;592
jan/1981;222
fev/1981;84,9
mar/1981;31,2
abr/1981;20,9
mai/1981;132
jun/1981;251
jul/1981;937
ago/1981;29,53
set/1981;4363
out/1981;2899
nov/1981;1109
dez/1981;417
jan/1982;166
fev/1982;93,1
mar/1982;79
abr/1982;81,8
mai/1982;146
jun/1982;444
jul/1982;873
ago/1982;1902
set/1982;3437
out/1982;2036
nov/1982;1112
dez/1982;355
jan/1983;161
fev/1983;98
mar/1983;80,1
abr/1983;72,2
mai/1983;92,6
jun/1983;313
jul/1983;929
ago/1983;1856
set/1983;2938
out/1983;2277
nov/1983;763
dez/1983;324
jan/1984;184
fev/1984;111
mar/1984;107
abr/1984;112
mai/1984;155
jun/1984;275
jul/1984;594
ago/1984;1692
set/1984;1646
out/1984;1800
nov/1984;632
dez/1984;291
jan/1985;151
fev/1985;99,7
mar/1985;99,9
abr/1985;106
mai/1985;116
jun/1985;163
jul/1985;481
ago/1985;2031
set/1985;3919
out/1985;2720
nov/1985;746
dez/1985;292
jan/1986;138
fev/1986;108
mar/1986;106
abr/1986;120
mai/1986;144
jun/1986;193
jul/1986;386
ago/1986;1200
set/1986;3120
out/1986;2260
nov/1986;908
dez/1986;319
jan/1987;174
fev/1987;136
mar/1987;129
abr/1987;145
mai/1987;186
jun/1987;264
jul/1987;445
ago/1987;1510
set/1987;2140
out/1987;2400
nov/1987;978
dez/1987;348
jan/1988;175
fev/1988;131
mar/1988;95,5
abr/1988;88
mai/1988;111
jun/1988;141
jul/1988;530
ago/1988;1660
set/1988;3100
out/1988;1680
nov/1988;632
dez/1988;249
jan/1989;134
fev/1989;113
mar/1989;88,7
abr/1989;132
mai/1989;176
jun/1989;128
jul/1989;315
ago/1989;1110
set/1989;2180
out/1989;2040
nov/1989;744
dez/1989;388
jan/1990;184
fev/1990;86,4
mar/1990;77,8
abr/1990;107
mai/1990;139
jun/1990;268
jul/1990;661
ago/1990;1700
set/1990;2530
out/1990;2000
nov/1990;809
dez/1990;369
