Mes;Vazao
1/6/1958;30660,33
1/7/1958;26125,48
1/8/1958;26010,64
1/9/1958;29880,67
1/10/1958;35000,64
1/11/1958;42099,67
1/12/1958;42900,64
1/1/1959;38508,39
1/2/1959;34592,14
1/3/1959;30180,00
1/4/1959;30664,00
1/5/1959;31259,03
1/6/1959;29920,00
1/7/1959;25442,90
1/8/1959;25944,19
1/9/1959;33874,33
1/10/1959;42701,93
1/11/1959;49589,00
1/12/1959;57715,16
1/1/1960;51819,36
1/2/1960;40651,38
1/3/1960;41513,23
1/4/1960;45452,00
1/5/1960;48725,80
1/6/1960;43539,67
1/7/1960;37562,58
1/8/1960;35377,42
1/9/1960;38900,33
1/10/1960;46858,39
1/11/1960;56681,67
1/12/1960;59539,36
1/1/1961;48217,74
1/2/1961;41240,00
1/3/1961;39901,29
1/4/1961;42646,33
1/5/1961;44510,00
1/6/1961;37528,33
1/7/1961;35055,16
1/8/1961;36699,36
1/9/1961;41407,00
1/10/1961;52185,48
1/11/1961;65901,00
1/12/1961;80832,91
1/1/1962;76295,80
1/2/1962;61195,00
1/3/1962;47281,29
1/4/1962;51293,33
1/5/1962;53230,32
1/6/1962;48705,00
1/7/1962;44764,20
1/8/1962;40418,39
1/9/1962;44236,00
1/10/1962;52926,45
1/11/1962;64324,00
1/12/1962;74885,48
1/1/1963;67947,09
1/2/1963;55858,21
1/3/1963;47558,39
1/4/1963;47224,00
1/5/1963;53229,03
1/6/1963;51795,67
1/7/1963;44832,58
1/8/1963;39629,68
1/9/1963;40685,00
1/10/1963;44012,90
1/11/1963;51179,00
1/12/1963;58541,93
1/1/1964;57749,03
1/2/1964;47435,52
1/3/1964;41827,10
1/4/1964;43990,67
1/5/1964;47131,29
1/6/1964;46746,00
1/7/1964;38789,68
1/8/1964;32931,29
1/9/1964;38809,00
1/10/1964;47697,42
1/11/1964;61385,33
1/12/1964;69412,91
1/1/1965;54634,84
1/2/1965;40592,14
1/3/1965;37583,87
1/4/1965;43356,33
1/5/1965;43365,16
1/6/1965;35589,67
1/7/1965;28365,16
1/8/1965;30023,87
1/9/1965;35977,00
1/10/1965;41673,55
1/11/1965;51382,00
1/12/1965;62349,03
1/1/1966;55577,74
1/2/1966;43687,14
1/3/1966;41882,90
1/4/1966;46978,67
1/5/1966;50545,80
1/6/1966;47929,67
1/7/1966;39301,29
1/8/1966;36669,36
1/9/1966;41691,33
1/10/1966;48185,80
1/11/1966;55553,33
1/12/1966;63036,77
1/1/1967;49127,10
1/2/1967;35897,86
1/3/1967;33130,97
1/4/1967;35031,00
1/5/1967;35216,13
1/6/1967;33031,00
1/7/1967;30545,48
1/8/1967;31424,19
1/9/1967;38046,00
1/10/1967;45900,97
1/11/1967;60160,00
1/12/1967;65538,71
1/1/1968;57603,55
1/2/1968;44143,45
1/3/1968;42799,68
1/4/1968;44626,33
1/5/1968;46586,13
1/6/1968;46153,33
1/7/1968;41566,45
1/8/1968;36971,93
1/9/1968;39697,33
1/10/1968;43616,77
1/11/1968;50422,67
1/12/1968;58560,00
1/1/1969;56694,20
1/2/1969;48932,50
1/3/1969;45360,64
1/4/1969;52687,33
1/5/1969;53073,55
1/6/1969;50698,33
1/7/1969;44513,87
1/8/1969;43166,77
1/9/1969;45981,67
1/10/1969;50839,36
1/11/1969;59183,00
1/12/1969;66422,91
1/1/1970;54914,20
1/2/1970;44921,07
1/3/1970;44302,90
1/4/1970;45374,33
1/5/1970;45017,74
1/6/1970;42314,00
1/7/1970;34474,52
1/8/1970;36196,45
1/9/1970;43327,67
1/10/1970;51991,93
1/11/1970;62819,67
1/12/1970;62536,13
1/1/1971;47924,52
1/2/1971;38011,43
1/3/1971;33631,61
1/4/1971;35857,00
1/5/1971;37535,80
1/6/1971;33049,67
1/7/1971;28183,23
1/8/1971;32724,52
1/9/1971;38688,67
1/10/1971;44660,00
1/11/1971;50588,33
1/12/1971;54330,32
1/1/1972;43507,10
1/2/1972;34768,96
1/3/1972;33129,36
1/4/1972;35208,33
1/5/1972;36446,45
1/6/1972;33400,67
1/7/1972;29574,52
1/8/1972;29379,68
1/9/1972;33003,67
1/10/1972;36993,87
1/11/1972;50135,67
1/12/1972;55881,93
1/1/1973;47058,39
1/2/1973;37531,79
1/3/1973;32334,52
1/4/1973;32181,00
1/5/1973;34646,45
1/6/1973;32242,67
1/7/1973;25762,90
1/8/1973;26075,48
1/9/1973;33172,33
1/10/1973;40232,26
1/11/1973;47199,67
1/12/1973;50396,45
1/1/1974;40840,00
1/2/1974;34633,57
1/3/1974;31528,71
1/4/1974;34208,00
1/5/1974;36696,13
1/6/1974;35794,00
1/7/1974;31534,19
1/8/1974;33152,90
1/9/1974;37409,00
1/10/1974;44966,77
1/11/1974;52151,67
1/12/1974;52179,36
1/1/1975;43484,84
1/2/1975;37534,29
1/3/1975;34484,52
1/4/1975;34654,00
1/5/1975;36449,36
1/6/1975;32560,67
1/7/1975;29970,32
1/8/1975;29960,00
1/9/1975;39108,67
1/10/1975;49882,90
1/11/1975;60165,00
1/12/1975;63650,00
1/1/1976;46452,90
1/2/1976;38469,66
1/3/1976;38297,74
1/4/1976;40483,00
1/5/1976;42235,16
1/6/1976;38600,33
1/7/1976;33940,00
1/8/1976;32405,81
1/9/1976;38945,67
1/10/1976;44104,52
1/11/1976;52038,00
1/12/1976;59241,93
1/1/1977;56185,16
1/2/1977;46684,29
1/3/1977;39675,48
1/4/1977;43037,67
1/5/1977;45653,55
1/6/1977;38581,00
1/7/1977;34210,00
1/8/1977;33387,10
1/9/1977;39258,67
1/10/1977;48378,07
1/11/1977;55686,67
1/12/1977;57770,32
1/1/1978;51637,10
1/2/1978;37758,57
1/3/1978;35796,45
1/4/1978;37978,00
1/5/1978;42253,87
1/6/1978;41950,67
1/7/1978;35863,23
1/8/1978;33151,61
1/9/1978;39436,33
1/10/1978;44410,00
1/11/1978;53635,00
1/12/1978;62436,45
1/1/1979;51923,23
1/2/1979;45535,71
1/3/1979;43534,84
1/4/1979;45924,67
1/5/1979;46868,71
1/6/1979;47779,00
1/7/1979;40975,48
1/8/1979;33572,90
1/9/1979;37602,33
1/10/1979;39452,26
1/11/1979;47428,67
1/12/1979;52278,07
1/1/1980;42444,20
1/2/1980;35071,72
1/3/1980;33338,07
1/4/1980;35847,33
1/5/1980;38170,32
1/6/1980;37167,33
1/7/1980;33783,55
1/8/1980;34980,97
1/9/1980;38053,33
1/10/1980;45342,90
1/11/1980;53791,33
1/12/1980;59531,93
1/1/1981;50002,58
1/2/1981;39460,00
1/3/1981;32941,29
1/4/1981;36288,33
1/5/1981;35540,64
1/6/1981;38330,33
1/7/1981;29680,32
1/8/1981;30769,03
1/9/1981;38902,33
1/10/1981;44917,74
1/11/1981;51035,00
1/12/1981;52156,13
1/1/1982;44049,36
1/2/1982;35066,43
1/3/1982;31399,36
1/4/1982;29489,67
1/5/1982;32611,94
1/6/1982;34335,67
1/7/1982;30682,90
1/8/1982;29272,58
1/9/1982;34042,67
1/10/1982;41542,90
1/11/1982;56691,33
1/12/1982;61225,16
1/1/1983;49020,32
1/2/1983;36957,86
1/3/1983;31360,00
1/4/1983;31613,67
1/5/1983;29982,58
1/6/1983;27057,00
1/7/1983;24360,00
1/8/1983;25622,26
1/9/1983;31245,00
1/10/1983;36078,71
1/11/1983;45260,33
1/12/1983;47721,61
1/1/1984;41328,34
1/2/1984;32188,70
1/3/1984;29878,20
1/4/1984;30778,75
1/5/1984;29902,39
1/6/1984;25567,29
1/7/1984;25125,63
1/8/1984;28964,94
1/9/1984;31102,78
1/10/1984;33800,32
1/11/1984;40703,57
1/12/1984;43737,95
1/1/1985;35607,47
1/2/1985;32287,14
1/3/1985;26057,71
1/4/1985;34699,61
1/5/1985;41471,18
1/6/1985;39085,63
1/7/1985;33142,37
1/8/1985;32291,99
1/9/1985;36499,16
1/10/1985;45394,62
1/11/1985;51373,44
1/12/1985;50283,77
1/1/1986;40933,79
1/2/1986;32680,88
1/3/1986;31935,39
1/4/1986;35777,84
1/5/1986;35686,79
1/6/1986;32032,59
1/7/1986;24832,34
1/8/1986;25735,74
1/9/1986;29631,04
1/10/1986;38713,16
1/11/1986;50879,46
1/12/1986;54647,64
1/1/1987;44484,68
1/2/1987;36323,03
1/3/1987;37323,26
1/4/1987;38816,51
1/5/1987;37353,48
1/6/1987;33697,89
1/7/1987;27765,29
1/8/1987;24952,90
1/9/1987;32280,17
1/10/1987;40481,78
1/11/1987;50385,49
1/12/1987;52961,60
1/1/1988;44780,59
1/2/1988;33960,56
1/3/1988;32327,23
1/4/1988;34503,56
1/5/1988;35392,66
1/6/1988;32522,38
1/7/1988;27374,23
1/8/1988;27692,83
1/9/1988;36106,70
1/10/1988;43822,51
1/11/1988;54337,29
1/12/1988;58813,16
1/1/1989;54841,42
1/2/1989;37898,01
1/3/1989;31739,46
1/4/1989;37052,12
1/5/1989;36078,95
1/6/1989;30440,75
1/7/1989;24973,12
1/8/1989;26517,60
1/9/1989;32649,09
1/10/1989;36818,77
1/11/1989;46615,47
1/12/1989;50765,77
1/1/1990;44893,03
1/2/1990;34285,40
1/3/1990;33320,56
1/4/1990;33798,79
1/5/1990;32662,23
1/6/1990;30656,26
1/7/1990;23835,13
1/8/1990;21677,71
1/9/1990;32006,43
1/10/1990;39163,17
1/11/1990;44678,10
1/12/1990;50961,16
1/1/1991;50444,24
1/2/1991;40275,25
1/3/1991;33927,92
1/4/1991;37026,64
1/5/1991;39363,31
1/6/1991;39527,43
1/7/1991;35316,66
1/8/1991;32461,28
1/9/1991;35638,68
1/10/1991;37418,13
1/11/1991;45948,61
1/12/1991;50632,88
1/1/1992;39495,69
1/2/1992;30092,99
1/3/1992;25928,40
1/4/1992;27595,99
1/5/1992;29792,58
1/6/1992;27686,14
1/7/1992;25840,29
1/8/1992;27992,27
1/9/1992;31291,16
1/10/1992;37719,78
1/11/1992;47111,42
1/12/1992;53145,08
1/1/1993;45856,70
1/2/1993;33194,72
1/3/1993;28351,96
1/4/1993;31663,88
1/5/1993;33207,34
1/6/1993;34130,87
1/7/1993;32457,04
1/8/1993;31131,44
1/9/1993;35115,72
1/10/1993;37799,37
1/11/1993;42874,10
1/12/1993;48670,12
1/1/1994;43401,66
1/2/1994;33812,90
1/3/1994;29980,08
1/4/1994;29151,59
1/5/1994;31219,07
1/6/1994;30826,71
1/7/1994;30315,00
1/8/1994;29507,05
1/9/1994;36302,93
1/10/1994;45132,27
1/11/1994;55115,80
1/12/1994;63207,79
1/1/1995;55457,89
1/2/1995;42729,27
1/3/1995;37053,87
1/4/1995;37409,90
1/5/1995;38416,23
1/6/1995;34532,50
1/7/1995;27438,75
1/8/1995;28881,76
1/9/1995;29624,17
1/10/1995;37918,26
1/11/1995;48916,41
1/12/1995;53420,80
1/1/1996;45865,58
1/2/1996;36764,03
1/3/1996;34705,73
1/4/1996;42220,79
1/5/1996;42561,39
1/6/1996;39869,30
1/7/1996;33604,80
1/8/1996;30348,60
1/9/1996;33243,67
1/10/1996;41854,43
1/11/1996;49510,17
1/12/1996;52007,50
1/1/1997;46349,88
1/2/1997;33674,11
1/3/1997;27357,66
1/4/1997;30827,76
1/5/1997;34856,38
1/6/1997;32799,61
1/7/1997;31030,64
1/8/1997;31313,45
1/9/1997;34046,26
1/10/1997;36256,74
1/11/1997;47028,43
1/12/1997;58590,01
1/1/1998;62040,84
1/2/1998;56155,01
1/3/1998;43427,23
1/4/1998;42459,96
1/5/1998;41655,50
1/6/1998;36700,33
1/7/1998;30321,85
1/8/1998;31998,43
1/9/1998;37873,76
1/10/1998;43796,96
1/11/1998;50280,77
1/12/1998;52960,61
1/1/1999;42635,26
1/2/1999;38490,60
1/3/1999;33019,82
1/4/1999;33077,35
1/5/1999;32857,33
1/6/1999;30602,38
1/7/1999;28318,64
1/8/1999;32583,60
1/9/1999;42219,32
1/10/1999;49075,31
1/11/1999;59739,41
1/12/1999;63744,34
1/1/2000;58522,50
1/2/2000;46369,05
1/3/2000;35063,73
1/4/2000;33941,95
1/5/2000;32478,34
1/6/2000;27887,99
1/7/2000;26885,83
1/8/2000;28637,64
1/9/2000;34667,20
1/10/2000;40993,29
1/11/2000;52826,69
1/12/2000;55790,21
1/1/2001;50321,89
1/2/2001;42317,30
1/3/2001;36893,28
1/4/2001;40875,20
1/5/2001;41929,93
1/6/2001;38683,53
1/7/2001;34197,48
1/8/2001;33273,59
1/9/2001;36129,75
1/10/2001;40654,71
1/11/2001;51781,61
1/12/2001;65386,67
1/1/2002;60041,61
1/2/2002;41707,73
1/3/2002;37844,96
1/4/2002;42627,95
1/5/2002;43070,57
1/6/2002;35564,17
1/7/2002;28708,78
1/8/2002;29292,88
1/9/2002;35346,75
1/10/2002;43152,84
1/11/2002;54746,61
1/12/2002;63834,52
1/1/2003;60826,66
1/2/2003;45595,09
1/3/2003;36929,66
1/4/2003;37849,64
1/5/2003;38761,50
1/6/2003;34055,50
1/7/2003;34533,37
1/8/2003;35015,22
1/9/2003;38479,72
1/10/2003;45006,00
1/11/2003;51853,29
1/12/2003;56248,69
1/1/2004;50747,22
1/2/2004;40833,02
1/3/2004;34451,70
1/4/2004;33597,04
1/5/2004;33016,08
1/6/2004;26432,75
1/7/2004;25539,27
1/8/2004;26339,57
1/9/2004;33646,75
1/10/2004;39544,57
1/11/2004;51702,01
1/12/2004;56104,38
1/1/2005;46713,01
1/2/2005;34405,79
1/3/2005;31179,53
1/4/2005;33549,25
1/5/2005;33564,27
1/6/2005;32504,85
1/7/2005;30296,17
1/8/2005;27157,40
1/9/2005;35192,19
1/10/2005;40328,96
1/11/2005;48800,13
1/12/2005;51414,20
